제목,링크,본문,썸네일
"새마을금고중앙회, 집중호우 피해 복구 성금 10억·금융지원 실시",https://n.news.naver.com/mnews/article/119/0002981936,"새마을금고중앙회가 최근 전국에서 발생한 집중호우 피해를 본 주민들을 위해 10억원의 성금을 전달하고 긴급 금융지원을 실시한다.ⓒ새마을금고중앙회
[데일리안 = 박상우 기자] 새마을금고중앙회는 행정안전부의 집중호우 피해복구 총력지원에 동참해 최근 전국에서 발생한 집중호우 피해를 본 주민들을 위해 10억원의 성금을 전달하고 긴급 금융지원을 실시한다고 22일 밝혔다.

새마을금고는 집중호우 등 수해로 재산 피해가 발생한 △가계 △소상공인 △중소기업 △공제계약자 등 지원 대상을 확인해 긴급자금대출, 만기연장, 원리금 상환유예 및 공제료 납입유예 등을 통한 금융지원을 할 예정이다.

피해 수습을 지원하기 위한 긴급자금대출은 1인당 최고 3000만원을 한도로 최대 3년의 기간 동안 지원된다.

기존 대출고객에 대한 금융지원으로는 대출 만기연장의 경우 최대 1년, 원리금에 대한 상환유예는 6개월의 범위 내에서 이루어진다.

이외에도 새마을금고는 공제계약자들 중 지원 대상에 대해 신청일로부터 12월 31일까지 공제료 납입을 유예한다. 납입유예 기간 동안 공제료를 납부하지 않아도 계약이 실효되지 않고 동일한 보장을 받을 수 있다.

이번 금융지원은 수해로 재산 피해가 발생한 새마을금고 고객이라면 모두 대상에 해당하며, 지자체가 발급한 재해피해사실확인서 등 관련 증빙 제출 시 지원 가능하다.

지원 접수는 다음 달 29일까지이며 새마을금고에 직접 방문하여 신청서를 제출하면 된다.

김인 새마을금고중앙회장은 ""예상치 못한 집중 호우로 인해 큰 어려움을 겪고 계신 피해 주민들께 깊은 위로의 말씀을 드린다""며 ""새마을금고는 지역주민들의 아픔을 함께 나누고 신속한 지원을 통해 하루빨리 일상으로 복귀하실 수 있도록 최선을 다하겠다""고 밝혔다.

금융지원 대상여부 및 지원 상세 사항은 가까운 새마을금고를 방문하거나 새마을금고 고객센터를 통해 확인할 수 있다.",https://imgnews.pstatic.net/image/119/2025/07/22/0002981936_001_20250722084413498.png?type=w800
배춧값 31% 폭등…생산자물가 3개월만에 상승,https://n.news.naver.com/mnews/article/016/0002503143,"한은, 6월 생산자물가지수 발표
폭염·폭우에 농축산물 물가 비상




생산자물가가 3개월 만에 상승 전환했다. 특히 이번 달 폭우와 불볕더위가 이어지는 가운데, 배추 등 일부 농산물 생산자물가가 30% 이상 크게 뛰면서 식자재 인플레이션이 다시 시작될 가능성이 높아졌다.

22일 한국은행이 발표한 2025년 6월 생산자물가지수(잠정) 통계에 따르면 6월 생산자물가는 전월 대비 0.1% 상승했다.

생산자물가는 4월(-0.2%)부터 낮아지기 시작해 5월까지 2개월 연속 떨어졌으나, 지난달 다시 올랐다. 지난해 같은 달과 비교해서는 0.5% 오르면서 5월(0.3%)에 비해 상승 폭이 확대됐다.

세부적으로 보면 6월 농림수산품 생산자물가가 전월 대비 0.6% 상승했다. 축산물(2.4%) 및 농산물(1.5%)이 오름세를 주도했다. 특히 배추는 1개월 만에 31.1% 폭등했다. 이외에도 돼지고기(9.5%), 달걀(4.4%) 등이 거센 오름세를 나타냈다. 물오징어(-36.3%)와 고등어(-27.6%)는 크게 내려갔다.

이문희 한은 물가통계팀장은 “축산물의 경우에는 돼지고기 도축량 감소하면서 가격이 올랐고 농산물은 쌀이나 배추의 공급 물량이 줄어들면서 가격이 올랐다”며 “배추는 지금 출하되고 있는 봄배추 작황이 고온에 따른 병해 등으로 부진해지면서 생산량이 줄어든 영향이 있다”고 말했다.

농림수산품 생산자물가 전망에 대해서는 “7월 초반에는 폭염이 있었고 지금은 폭우가 내려서 농림수산품 가격에 좀 불확실성이 큰 상황”이라고 밝혔다. 또 “국제 유가와 환율의 변동 추이를 봤을 때는 7월 들어서 현재까지 두바이유 가격과 원·달러 환율이 전월 대비 소폭 오른 상황”이라며 “대외 여건의 불확실성이 커서 그 변화 추이도 좀 지켜보아야 할 것”이라고 덧붙였다. 홍태화 기자",https://imgnews.pstatic.net/image/016/2025/07/22/0002503143_001_20250722112214725.jpg?type=w800
"삼성, 집중호우 수해 복구에 30억원 지원",https://n.news.naver.com/mnews/article/422/0000762179,"삼성, 수해 복구에 30억원 지원 [삼성전자 제공. 재판매 및 DB 금지]

삼성은 최근 전국 각지에서 발생한 집중호우로 피해를 입은 주민들을 위로하고 피해 복구를 돕기 위해 30억원을 지원한다고 오늘(21일) 밝혔습니다.

이번 성금 기부에는 삼성전자와 삼성디스플레이, 삼성SDI, 삼성전기, 삼성SDS, 삼성생명, 삼성화재, 삼성물산 등 8개 관계사가 참여했습니다.

삼성은 임시 대피소에서 생활하는 이재민을 위해 생필품 등으로 구성된 긴급구호키트 1천개와 거주용 천막 300개도 제공하기로 했습니다.

삼성전자서비스는 지난 18일부터 수해 복구 특별서비스팀을 파견해 가전제품과 휴대전화 무상점검을 실시하고 있습니다.

침수 피해가 집중된 지역에는 서비스 엔지니어들이 피해 가구를 직접 방문합니다.

삼성카드는 집중호우로 피해를 본 고객들에 대해 금융 지원에 나섰습니다.

해당 고객들의 7∼9월에 이용한 신용카드 결제대금 청구를 최장 6개월까지 유예하고, 결제예정금액을 무이자로 6개월까지 분할 납부할 수 있도록 지원할 예정입니다.

또 피해 고객들의 카드대출 이자를 최대 30%까지 감면하고, 9월 내에 만기가 도래하는 장기카드대출은 만기를 연장해주기로 했습니다.

삼성은 경북·경남·울산 산불 당시에도 구호 성금 30억원과 10억원 상당 가전제품을 기부하고 긴급구호키트 제공, 침수 가전 무상 점검 지원 등에 나선 바 있습니다.

#삼성그룹 #수해복구 #집중호우 #성금

연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23",https://imgnews.pstatic.net/image/422/2025/07/21/AKR20250721172604542_01_i_20250721172613594.jpg?type=w800
LG AI연구원 공동 원장 체제로,https://n.news.naver.com/mnews/article/009/0005528613,"LG AI연구원이 신임 공동 연구원장에 이홍락 부사장(CSAI·최고AI과학자)과 임우형 상무(선임 랩장 겸 데이터 인텔리전스 랩장)를 선임했다고 21일 밝혔다.

이홍락 원장은 세계 10대 인공지능(AI) 연구자로 선정될 만큼 머신러닝과 딥러닝 분야에서 탁월한 권위를 인정받고 있는 석학이다. 서울과학고를 졸업하고 서울대에서 물리학과 컴퓨터공학을 전공한 뒤 미국 스탠퍼드대에서 석박사 학위를 취득했다.

임우형 원장은 머신러닝과 음성인식 분야 전문가로 자체 AI 모델 '엑사원'을 활용한 AI 응용연구를 해오며 계열사 사업 및 산업 현장의 다양한 난제를 해결해왔다. 분당고와 서울대 전기공학과를 졸업하고 서울대에서 전기컴퓨터공학 석박사 학위를 받았다.

이번 인사는 배경훈 전 원장이 새 정부 첫 과학기술정보통신부 장관으로 임명된 데 따른 것이다.

[김동은 기자]",https://imgnews.pstatic.net/image/009/2025/07/21/0005528613_001_20250721194122531.jpg?type=w800
"""휴대폰 사면 현금 돌려준다?""…오늘부터 '호갱 OUT’ 단통법 전격 폐지",https://n.news.naver.com/mnews/article/011/0004511964,"'이동통신 단말장치 유통구조 개선에 관한 법률'(단통법)이 오는 22일 폐지된다. 연합뉴스

[서울경제]

'같은 휴대폰, 다른 가격' 혼란을 막기 위해 2014년 도입된 '단말기 유통구조 개선법'(단통법)이 22일 폐지됐다. 이로써 이동통신사의 보조금 공시 의무와 유통점의 추가 지원금 한도(공시지원금의 15%)가 모두 사라졌다.

앞으로 이동통신사가 일괄 제공하는 '공통 지원금'과 유통점이 자율적으로 책정하는 추가지원금이 따로 적용된다. 지원금 규모가 매장마다 달라질 수 있어 소비자들은 같은 단말기를 더 저렴하게 구매할 수 있게 됐다.

과거 출고가 100만원 휴대폰에 공시지원금 50만원이 붙으면 추가지원금은 최대 7만5000원에 그쳤다. 단통법 폐지로 유통점 재량에 따라 수십만원 추가 할인이 가능해졌고 출고가보다 지원금이 더 큰 '마이너스폰'도 이론적으로 허용된다.

과거 불법이던 '페이백'(현금 환급)도 계약서에 명시하면 합법이 됐다. 강남·용산 등 휴대폰 판매 밀집 지역에선 ""대놓고 싸게 팔 수 있다""는 반응이 나온다.

단말기 보조금 대신 월 통신비를 할인해주는 선택약정 할인제도(최대 25%)는 유지된다. 기존에는 선택약정 이용 시 보조금을 중복으로 받을 수 없었으나 단통법 폐지로 중복 수령이 가능해져 소비자 혜택이 커졌다.

통신 3사는 방통위와 협의해 '공통 지원금'을 자율적으로 홈페이지에 일 단위로 게시할 계획이다. 공시 의무는 사라졌지만 정보 비대칭을 줄이기 위한 자율 공시체계다.

시장에서는 단기적으로 출혈 경쟁이 불가피할 것으로 본다. 특히 4월 해킹 사고로 가입자 80만명 이상 이탈한 SK텔레콤이 공격적 보조금 전략에 나설 가능성이 크다.

다만 고액 보조금을 미끼로 고가 요금제 장기 유지나 부가서비스 가입을 강요하는 '꼼수 판매'가 재현될 우려도 있다. 소비자들은 계약 조건과 위약금 등을 꼼꼼히 확인해야 한다.

오는 25일 삼성전자의 신형 폴더블폰 '갤럭시 Z 플립7·폴드7' 출시와 3분기 애플 아이폰17 출격 등이 단통법 폐지 이후 초기 시장 분위기를 판가름할 첫 시험대가 될 전망이다.

정부는 단통법 폐지에 따른 공백을 메우기 위해 방통위 주도 '단통법 폐지 대응 TF'를 운영 중이며, 당분간 행정지도와 업계 자율 규제에 의존하는 과도기를 거칠 예정이다.

&#160;
""휴대폰 사면 현금 돌려준다?""…오늘부터 '호갱 OUT’ 단통법 전격 폐지",https://imgnews.pstatic.net/image/011/2025/07/22/0004511964_001_20250722092308189.png?type=w800
"""수해 소상공에 최대 1억원""…중기부, 정책역량 '총동원'",https://n.news.naver.com/mnews/article/003/0013376700,"특별재난지역은 최대 3억원까지
소진공 대출 만기 1년 연장 가능
전기·가스시설도 신속 교체 예정
[당진=뉴시스] 지난 17일 이틀간 내린 호우로 침수된 당진전통시장 모습. (사진=당진시 제공) 2025.07.22. photo@newsis.com *재판매 및 DB 금지
[서울=뉴시스]강은정 기자 = 중소벤처기업부(중기부)가 집중호우로 피해를 입은 전통시장의 빠른 정상화를 위해 유관 기관들과 긴급 지원에 나선다.

중기부는 22일 수해를 입은 전통시장을 위해 ▲경영 안정 지원과 ▲피해 복구 지원을 실시할 방침이다.

소상공인시장진흥공단(소진공)은 재해 확인증을 발급받은 요식업, 생활밀착형 소매업 종사 소상공인을 대상으로 최대 1억원 긴급경영안정자금(연 2.0%·2년 거치 3년 상환)을 지원한다. 특별재난지역으로 선포되면 최대 3억원(연 1.4%·10년 이내)으로 한도가 확대된다.

또 재해 확인증이 있는 피해 상인은 소진공의 기존 융자에 대해 대출 만기를 1년 연장할 수 있다. 지역신용보증재단은 이들에게 최대 3억원까지 특례 보증(보증률 100%·보증료 연 0.5%)을 제공한다. 노란우산공제에 가입한 경우는 최대 2000만원까지 무이자 재해 대출을 받을 수 있다.

복구 또는 교체가 필요한 전기·가스시설은 패스트트랙을 통해 신속히 조치할 예정이다. 평소 2개월 이상 소요되던 안전관리패키지사업비(점포당 500만원) 교부는 10일 이내로 단축한다. 침수로 인한 안전사고를 예방하기 위해 한국전력공사, 한국가스안전공사 등에 긴급 점검도 요청한다.

최원영 중기부 소상공인정책실장은 ""수해 피해로 상인들의 시름이 매우 깊은데 중기부는 유관 기관들과 함께 상인들의 피해 최소화와 조기 정상화를 위해 모든 정책 역량을 집중할 계획이다""고 강조했다.

한편 중기부에 따르면 지난 16일부터 내린 폭우로 이날 오전 8시 기준 전국 8개 전통 시장·약 412개 점포에서 피해가 발생했다. 현재까지 인명피해는 없는 것으로 파악됐다.

중기부는 지방자치단체, 지방중소벤처기업청, 소진공 등과 현장 복구를 위한 비상 체계를 구축했다. 특히 피해가 컸던 당진 전통시장 약 170개 점포와 합천 삼가시장 약 70개 점포에 대해선 복구 작업을 지원했고 원스톱 지원 센터를 운영 중이다．",https://imgnews.pstatic.net/image/003/2025/07/22/NISI20250717_0001895955_web_20250717182457_20250722095119304.jpg?type=w800
"이제 아이폰도 된다…찍고 버스, 지하철 탄다",https://n.news.naver.com/mnews/article/374/0000453069,"[앵커]

그동안 아이폰 쓰시는 분들 대중교통 이용할 때 애로점 중 하나가 실물 교통카드를 들고 다녀야 했다는 점이었죠.

오늘(22일)부터는 티머니와의 연동으로 아이폰 하나만 들고도 버스, 지하철을 탈 수 있게 됐습니다.

안지혜 기자, 그동안 소문만 무성했던 티머니 연동이 드디어 됐군요?

[기자]

그렇습니다.

애플이 오늘부터 아이폰에서 T머니와 연동한 선불 교통카드 지원을 시작했습니다.

지난 2023년 3월 애플페이 서비스가 한국에 공식 출시된 지 2년 4개월 만입니다.

이제 아이폰 사용자는 애플지갑 앱에 T머니 카드를 추가한 뒤, 아이폰 또는 애플워치를 버스·지하철 승하차 단말기에 태그 하면 대중교통을 이용할 수 있습니다.

카드는 선불충전식입니다.

애플지갑 앱에서는 국내에서 유일하게 애플페이를 지원하는 현대카드를 등록해 1만 원, 3만 원, 5만 원 등 금액을 미리 충전해 사용할 수 있고, 모바일티머니 앱에서는 현대카드 외 다른 결제 수단을 통한 충전도 가능합니다.

사용자가 설정한 잔액 이하로 떨어지면 애플페이를 통해 금액을 자동 충전하는 기능도 세계에서 처음으로 적용됐습니다.

[앵커]

하지만 아직 아쉬운 점들도 있다고요?

[기자]

그렇습니다.

현재 T머니를 통한 선불 충전만 지원되고 이용자가 보유한 다른 후불 교통카드는 사용이 불가합니다.

또 기대를 모았던 서울시의 대중교통 통합 정기권인 '기후동행카드'나 정부의 대중교통비 환급 지원사업인 'K-패스' 교통카드 등은 사용할 수 없습니다.

아직은 언제 도입될지 관련 정책이 확정되지 않았다는 게 애플 측 설명인데요.

삼성월렛에서는 기후동행카드와 케이패스 등을 사용할 수 있다는 점에서 대비되는 지점입니다.

오늘부터 단통법 폐지로 고가 휴대폰에 대한 이통사별 보조금 전쟁이 예고된 가운데, 아이폰의 이번 기능 확대가 국내 점유율 높이기에도 영향을 미칠지 주목됩니다.

SBS Biz 안지혜입니다.
 

당신의 제보가 뉴스로 만들어집니다.
SBS Biz는 여러분의 제보를 기다리고 있습니다.
홈페이지 = https://url.kr/9pghjn",https://imgnews.pstatic.net/image/374/2025/07/22/0000453069_001_20250722114624607.jpg?type=w800
"CJ나눔재단, 20년간 2100억 후원금 지원",https://n.news.naver.com/mnews/article/015/0005160737,"아동·청소년 220만명 대상
민희경 CJ사회공헌추진단장(가운데)이 김나운·윤경호 배우(왼쪽부터), 류경화 CJ도너스캠프 아카데미 마스터 멘토, 김수호 우수 일반기부자에게 감사패를 전달했다. CJ나눔재단 제공
CJ그룹의 사회공헌재단 CJ나눔재단이 설립 20주년을 맞아 지난 18일 서울 필동 CJ인재원에서 기념식을 열고 재단 활동에 동참한 김나운, 윤경호 배우와 CJ 임직원 우수 기부자, 봉사자 등 10명에게 감사패를 전달했다고 21일 밝혔다.

CJ나눔재단은 2005년 설립 이후 220여만 명의 아동·청소년을 지원했다. 누적 후원금 규모는 2100여억원에 달한다.

주요 사업으로는 청소년의 문화 창작 활동을 지원하는 문화동아리, 취업 취약계층 청년에게 직업교육을 하고 CJ그룹 계열사 등에 취업 기회를 제공하는 아카데미 등이 있다.",https://imgnews.pstatic.net/image/015/2025/07/21/0005160737_001_20250722001314944.jpg?type=w800
"롯데百, 롯데월드몰서 ‘FC서울 VS FC바르셀로나’ 팝업스토어",https://n.news.naver.com/mnews/article/016/0002502883,"8월 3일까지…600여 종 상품 선봬


[롯데백화점 제공]


[헤럴드경제=전새날 기자] 롯데백화점이 오는 23일부터 8월 3일까지 잠실 롯데월드몰 1층 아트리움에서 ‘FC서울 VS FC바르셀로나’ 팝업스토어를 운영한다고 밝혔다.

이번 팝업스토어는 FC바르셀로나의 아시아투어 첫 경기인 FC서울과의 친선경기를 기념해 기획한 행사다.

팝업스토어에서는 두 구단의 선공개 굿즈를 포함해 600여 종에 달하는 굿즈를 선보인다. 특히 ‘라민 야말’의 이름과 등번호가 새겨진 공식 유니폼을 한정 수량 판매한다. 또 FC서울의 클래식 저지와 공식 유니폼, 최근 출시된 ‘FC서울 X 짱구는 못말려’ 굿즈도 만나볼 수 있다.

팬심을 자극할 이벤트도 풍성하다. 먼저 31일 상암월드컵경기장에서 열리는 친선경기를 맞아 스코어 예측 이벤트를 진행한다. 23일부터 30일까지 팝업스토어 방문 고객을 대상으로 경기 스코어와 최초 득점자를 모두 맞춘 고객이 대상이다. ‘리오넬 메시 친필 사인 유니폼 액자’ 또는 ‘린가드 & 정승원 친필 사인 유니폼 액자’를 추첨해 2명에게 1개씩 증정한다. 28일 저녁 7시에는 FC서울의 정승원, 김진수 선수가 참여하는 팬 미팅과 사인회를 진행한다.

친선경기와 연계한 행사도 있다. 팝업스토어를 방문한 고객에게는 QR 인증 이벤트를 통해 매일 선착순 300명 한정 특별 부채를 증정한다. 10만원 이상 구매 고객에게는 FC서울 팬 사인회 응모권, 경기 예매권, 신상 의류 등 경품을 제공한다. 개인 SNS(사회관계망서비스)에 팝업스토어 인증 게시글을 올린 고객에게는 FC서울 유니폼, FC바르셀로나 의류를 추첨을 통해 증정한다.

진승현 롯데백화점 패션 부문장은 “이번 팝업스토어는 FC바르셀로나의 아시아투어 및 15년 만의 내한을 기념해 국내외 축구 팬들에게 특별한 경험을 선사하기 위한 것”이라고 말했다.",https://imgnews.pstatic.net/image/016/2025/07/22/0002502883_001_20250722081007286.jpg?type=w800
"수도권 아파트 전세, 2년새 4215만원 급등…1.5억 넘게 뛴 '이곳'",https://n.news.naver.com/mnews/article/025/0003456789,"서울 시내 한 부동산 전월세 관련 안내문. 연합뉴스

수도권 아파트 전셋값이 2년 전보다 평균 4000만원 이상 상승하면서 세입자들의 보증금 부담이 크게 늘어난 것으로 나타났다.

22일 부동산 중개업체 집토스가 국토교통부 실거래가 조회시스템 자료를 분석한 결과, 2023년 상반기와 2025년 상반기 사이 수도권 아파트 7878개 단지의 평균 전셋값은 3억9063만원에서 4억3278만원으로 4215만원(약 10.8%) 증가했다.

특히 전용면적 60∼85㎡ 규모의 이른바 ‘국민평형’ 아파트 전셋값 상승세가 가장 뚜렷했다. 이 평형대의 보증금은 평균 11.2%(4380만원) 올랐고, 소형(50∼60㎡)은 10.8%(3590만원), 대형(85㎡ 초과)은 9.8%(6041만원), 초소형(50㎡ 이하)은 5.6%(1327만원) 상승했다.

서울에서는 국평 아파트의 평균 전세보증금이 2년 전 5억3760만원에서 올해 6억196만원으로 6435만원(11.7%) 늘어났다.

지역별로는 경기도 과천시 국평 아파트의 전셋값이 21.9%(1억5450만원) 올라 수도권에서 가장 높은 상승률을 기록했다. 양주시(19.3%), 구리시(17.3%), 화성시(16.6%), 시흥시(15.4%) 등도 높은 상승폭을 보였다.

서울에서는 마포구(15.4%), 서대문구(14.4%), 동작구(14.0%) 등의 상승률이 두드러졌으며, 금액 기준으로는 서초구(1억1717만원), 강남구(1억1081만원) 등의 고가 지역에서 큰 상승이 나타났다.

이재윤 집토스 대표는 “매매시장 불확실성이 지속되는 상황에서 전세 수요는 유지되고 있어 세입자들의 전세보증금 부담이 한계에 다다르고 있다”고 진단했다.",https://imgnews.pstatic.net/image/025/2025/07/22/0003456789_001_20250722114511707.jpg?type=w800
